行 ID,オーダー ID,オーダー日,出荷日,出荷モード,顧客 ID,顧客名,顧客区分,市区町村,都道府県,国/地域,地域,製品 ID,カテゴリ,サブカテゴリ,製品名,売上,数量,割引率,利益
25,JP-2020-1012065,2020-09-27,2020-09-30,ファースト クラス,植丈-10390,植草 丈夫,消費者,芦屋市,兵庫県,日本,関西地方,家具-家具-10002886,家具,家具,"Advantus ドア ストッパー, プレミアム",8730.0,3,0.0,258.0
26,JP-2022-1012835,2022-12-29,2023-01-01,ファースト クラス,浜重-19690,浜砂 重子,消費者,箕面市,大阪府,日本,関西地方,家電-コピ-10003817,家電,コピー機,"キヤノン コピー機, 赤",104136.0,6,0.0,41652.0
27,JP-2022-1012835,2022-12-29,2023-01-01,ファースト クラス,浜重-19690,浜砂 重子,消費者,箕面市,大阪府,日本,関西地方,家電-事務-10003474,家電,事務機器,"StarTech 計算機, 赤",7422.0,3,0.0,366.0
28,JP-2021-1013498,2021-07-19,2021-07-24,通常配送,幕千-21865,幕田 千代子,消費者,北上市,岩手県,日本,東北地方,家電-付属-10002701,家電,付属品,"ベルキン ルータ, 高耐久性",20716.8,2,0.4,-3.1999999999989086
29,JP-2019-1013528,2019-11-27,2019-11-29,ファースト クラス,大由-11455,大郷 由美,小規模事業所,東広島市,広島県,日本,中国地方,事務用-画材-10002727,事務用品,画材,"BIC 鉛筆削り, メタル",4237.799999999999,3,0.3,-1276.1999999999998
30,JP-2019-1014041,2019-08-13,2019-08-18,通常配送,加翼-13420,加川 翼,大企業,蒲生郡日野町,滋賀県,日本,関西地方,家電-付属-10003172,家電,付属品,"サンディスク ルータ, リサイクル",33888.0,2,0.0,9824.0
31,JP-2019-1014041,2019-08-13,2019-08-18,通常配送,加翼-13420,加川 翼,大企業,蒲生郡日野町,滋賀県,日本,関西地方,家電-付属-10000955,家電,付属品,"サンディスク フラッシュ ドライブ, プログラミング可能",5472.0,2,0.0,1532.0
32,JP-2022-1014625,2022-10-15,2022-10-20,通常配送,小太-19585,小堺 太陽,消費者,新宿区,東京都,日本,関東地方,事務用-紙-10002405,事務用品,紙,"Green Bar 硫酸紙, マルチカラー",5125.499999999998,5,0.15,1745.5000000000002
33,JP-2022-1014625,2022-10-15,2022-10-20,通常配送,小太-19585,小堺 太陽,消費者,新宿区,東京都,日本,関東地方,事務用-アプ-10002118,事務用品,アプライアンス,"クイジナート 冷蔵庫, 赤",28111.2,1,0.15,1983.1999999999998
34,JP-2022-1014625,2022-10-15,2022-10-20,通常配送,小太-19585,小堺 太陽,消費者,新宿区,東京都,日本,関東地方,事務用-画材-10002605,事務用品,画材,"Boston スケッチ帳, 大容量パック",8307.9,3,0.15,1755.9
35,JP-2021-1015132,2021-08-13,2021-08-17,通常配送,伊正-18655,伊志嶺 正博,大企業,東村山郡中山町,山形県,日本,東北地方,家具-家具-10002975,家具,家具,"Tenex フォト フレーム, 高耐久性",13032.0,4,0.0,4952.0
36,JP-2022-1015449,2022-11-07,2022-11-11,通常配送,西颯-11710,西見 颯太,消費者,市原市,千葉県,日本,関東地方,家具-椅子-10001202,家具,椅子,"Novimex スツール, 2 つセット",20005.199999999997,3,0.4,-11008.800000000001
37,JP-2021-1015946,2021-11-24,2021-11-29,通常配送,川一-11995,川崎 一樹,消費者,宇佐市,大分県,日本,九州,事務用-画材-10000863,事務用品,画材,"Stanley キャンバス, 青",6595.999999999999,2,0.0,1780.0
38,JP-2021-1016000,2021-05-27,2021-06-01,通常配送,阿真-11125,阿藤 真,小規模事業所,三田市,兵庫県,日本,関西地方,事務用-画材-10003313,事務用品,画材,"Boston 蛍光ペン, 青",2515.9999999999995,2,0.0,500.0
39,JP-2022-1016798,2022-06-14,2022-06-18,通常配送,二翔-13375,二川 翔太,消費者,長岡市,新潟県,日本,中部地方,家電-付属-10000955,家電,付属品,"サンディスク フラッシュ ドライブ, プログラミング可能",19152.0,7,0.0,5362.0
40,JP-2022-1016798,2022-06-14,2022-06-18,通常配送,二翔-13375,二川 翔太,消費者,長岡市,新潟県,日本,中部地方,家具-本棚-10004867,家具,本棚,"イケア キャビネット, メタル",37840.0,4,0.0,18536.0
41,JP-2020-1017704,2020-11-27,2020-11-28,ファースト クラス,稲静-14635,稲木 静香,大企業,宇部市,山口県,日本,中国地方,事務用-封筒-10000912,事務用品,封筒,"Cameo 業務用封筒, シルバー",1548.0,2,0.4,-208.0
42,JP-2021-1017940,2021-04-20,2021-04-26,通常配送,西大-10825,西坂 大和,大企業,国分寺市,東京都,日本,関東地方,事務用-ラベ-10001049,事務用品,ラベル,"Novimex 法的提出用ラベル, 調整可能",1897.2,4,0.15,-22.80000000000001
43,JP-2021-1017940,2021-04-20,2021-04-26,通常配送,西大-10825,西坂 大和,大企業,国分寺市,東京都,日本,関東地方,家電-コピ-10002551,家電,コピー機,"ブラザー 無線ファックス, 2 つセット",85863.6,4,0.15,7063.5999999999985
44,JP-2021-1018543,2021-03-20,2021-03-25,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,家具-本棚-10004988,家具,本棚,"Dania 書庫, 黒",169750.0,7,0.0,47530.00000000001
45,JP-2021-1018543,2021-03-20,2021-03-25,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,事務用-バイ-10004812,事務用品,バインダー,"アコ タブ, クリア",2680.0,5,0.0,480.0
46,JP-2021-1018543,2021-03-20,2021-03-25,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,事務用-封筒-10004780,事務用品,封筒,"Kraft 茶封筒, シルバー",5777.999999999999,3,0.0,2711.9999999999995
47,JP-2021-1018543,2021-03-20,2021-03-25,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,事務用-バイ-10001121,事務用品,バインダー,"Avery とじ機, リサイクル",13120.000000000002,4,0.0,4720.0
48,JP-2021-1018543,2021-03-20,2021-03-25,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,事務用-アプ-10000399,事務用品,アプライアンス,"ブレビル 冷蔵庫, 赤",69244.0,2,0.0,33928.0
49,JP-2021-1018543,2021-03-20,2021-03-25,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,家具-家具-10002095,家具,家具,"Eldon 積み重ねトレイ, プレミアム",8032.000000000001,4,0.0,560.0
50,JP-2021-1018543,2021-03-20,2021-03-25,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,事務用-保管-10002374,事務用品,保管箱,"Eldon 棚, フル サイズ",16149.999999999998,5,0.0,425.0
51,JP-2021-1018543,2021-03-20,2021-03-25,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,家具-本棚-10002255,家具,本棚,"Dania 本棚, メタル",32279.999999999996,4,0.0,2576.0
52,JP-2021-1018543,2021-03-20,2021-03-25,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,家具-家具-10001219,家具,家具,"Advantus フレーム, マルチパック",14824.0,2,0.0,1184.0
53,JP-2021-1018543,2021-03-20,2021-03-25,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,事務用-ラベ-10004553,事務用品,ラベル,"Smead 丸型ラベル, 調整可能",640.0,2,0.0,196.0
54,JP-2021-1018543,2021-03-20,2021-03-25,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,事務用-ラベ-10000851,事務用品,ラベル,"Harbour Creations 取り外し可能ラベル, 白",690.0,1,0.0,206.0
55,JP-2021-1018543,2021-03-20,2021-03-25,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,家電-事務-10004480,家電,事務機器,"OKI データ プリンター, マルチカラー",17900.000000000004,1,0.0,6086.0
56,JP-2021-1018543,2021-03-20,2021-03-25,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,事務用-バイ-10001271,事務用品,バインダー,"カーディナル タブ, クリア",2239.9999999999995,5,0.0,130.0
57,JP-2021-1018543,2021-03-20,2021-03-25,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,家電-付属-10001019,家電,付属品,"エナーマックス キーパッド, プログラミング可能",7844.0,2,0.0,1252.0
58,JP-2021-1018543,2021-03-20,2021-03-25,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,家電-コピ-10004080,家電,コピー機,"HP ファックス, 赤",39752.0,2,0.0,1588.0
59,JP-2021-1018543,2021-03-20,2021-03-25,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,家具-本棚-10004462,家具,本棚,"Bush クラシック スタイルの本棚, 黒",82806.0,3,0.0,13248.0
60,JP-2022-1024823,2022-05-06,2022-05-10,通常配送,佐丈-10735,佐々本 丈夫,消費者,田川郡川崎町,福岡県,日本,九州,家具-家具-10003438,家具,家具,"Rubvermaid ドア ストッパー, マルチパック",17544.0,6,0.0,6132.000000000001
61,JP-2022-1024823,2022-05-06,2022-05-10,通常配送,佐丈-10735,佐々本 丈夫,消費者,田川郡川崎町,福岡県,日本,九州,事務用-アプ-10001938,事務用品,アプライアンス,"クイジナート 電子レンジ, 白",92199.99999999999,5,0.0,19360.0
62,JP-2022-1026506,2022-05-20,2022-05-24,通常配送,室大-19105,室田 大翔,消費者,新宿区,東京都,日本,関東地方,事務用-封筒-10004918,事務用品,封筒,"Cameo テープ付き, リサイクル",5610.0,5,0.15,-930.0
63,JP-2022-1026506,2022-05-20,2022-05-24,通常配送,室大-19105,室田 大翔,消費者,新宿区,東京都,日本,関東地方,事務用-ラベ-10000152,事務用品,ラベル,"Hon 輸送用ラベル, 赤",3170.5,5,0.15,850.5
64,JP-2022-1026506,2022-05-20,2022-05-24,通常配送,室大-19105,室田 大翔,消費者,新宿区,東京都,日本,関東地方,事務用-保管-10003857,事務用品,保管箱,"Smead フォルダ, メタル",1876.8,2,0.15,84.80000000000001
65,JP-2022-1026506,2022-05-20,2022-05-24,通常配送,室大-19105,室田 大翔,消費者,新宿区,東京都,日本,関東地方,家具-椅子-10001945,家具,椅子,"Harbour Creations スツール, 黒",10069.1,1,0.15,-1540.8999999999999
66,JP-2022-1030177,2022-02-11,2022-02-15,通常配送,長優-12040,長井 優太,小規模事業所,旭市,千葉県,日本,関東地方,家具-椅子-10000212,家具,椅子,"Hon 折り畳み式の椅子, 調整可能",13425.6,4,0.4,-8286.4
67,JP-2022-1030177,2022-02-11,2022-02-15,通常配送,長優-12040,長井 優太,小規模事業所,旭市,千葉県,日本,関東地方,事務用-保管-10001381,事務用品,保管箱,"Tenex ロッカー, フル サイズ",24501.6,3,0.4,-16079.399999999998
68,JP-2020-1031262,2020-09-15,2020-09-18,ファースト クラス,瀬美-14365,瀬川 美咲,大企業,かほく市,石川県,日本,中部地方,事務用-画材-10000295,事務用品,画材,"Sanford ペン, 各種サイズ",666.4000000000001,1,0.3,-67.6
69,JP-2020-1031262,2020-09-15,2020-09-18,ファースト クラス,瀬美-14365,瀬川 美咲,大企業,かほく市,石川県,日本,中部地方,事務用-保管-10000812,事務用品,保管箱,"Eldon ロッカー, 業務用",26452.0,2,0.0,792.0
70,JP-2020-1031600,2020-11-08,2020-11-13,通常配送,梶静-13675,梶山 静香,小規模事業所,遠賀郡芦屋町,福岡県,日本,九州,家電-電話-10000487,家電,電話機,"サムスン ヘッドセット, 青",14640.0,3,0.0,1608.0
71,JP-2020-1031976,2020-09-29,2020-10-05,通常配送,門颯-10360,門田 颯太,大企業,旭川市,北海道,日本,北海道,事務用-文房-10002512,事務用品,文房具,"Elite はさみ, 青",5407.2,6,0.4,-2080.8
72,JP-2021-1032556,2021-04-05,2021-04-12,通常配送,永昭-17185,永末 昭夫,消費者,羽曳野市,大阪府,日本,関西地方,家具-家具-10003666,家具,家具,"Deflect-O 電球, 黒",2531.9999999999995,2,0.0,808.0
73,JP-2021-1032556,2021-04-05,2021-04-12,通常配送,永昭-17185,永末 昭夫,消費者,羽曳野市,大阪府,日本,関西地方,事務用-文房-10001181,事務用品,文房具,"Kleencut はさみ, 青",4458.000000000001,3,0.0,756.0
74,JP-2021-1032556,2021-04-05,2021-04-12,通常配送,永昭-17185,永末 昭夫,消費者,羽曳野市,大阪府,日本,関西地方,事務用-封筒-10004780,事務用品,封筒,"Kraft 茶封筒, シルバー",5777.999999999999,3,0.0,2711.9999999999995
75,JP-2020-1033858,2020-08-30,2020-09-01,セカンド クラス,岩太-15025,岩佐 太陽,消費者,浜松市中区,静岡県,日本,中部地方,事務用-バイ-10000078,事務用品,バインダー,"Ibico バインダー カバー, 高耐久性",606.0,1,0.4,-92.0
76,JP-2020-1033858,2020-08-30,2020-09-01,セカンド クラス,岩太-15025,岩佐 太陽,消費者,浜松市中区,静岡県,日本,中部地方,家電-コピ-10004185,家電,コピー機,"キヤノン インク, デジタル",23486.399999999998,4,0.4,-9401.6
77,JP-2020-1033858,2020-08-30,2020-09-01,セカンド クラス,岩太-15025,岩佐 太陽,消費者,浜松市中区,静岡県,日本,中部地方,事務用-画材-10002419,事務用品,画材,"Binney & Smith キャンバス, 各種サイズ",17452.8,8,0.4,-6995.200000000001
78,JP-2020-1033858,2020-08-30,2020-09-01,セカンド クラス,岩太-15025,岩佐 太陽,消費者,浜松市中区,静岡県,日本,中部地方,事務用-封筒-10000164,事務用品,封筒,"Cameo 茶封筒, 赤",7329.599999999999,6,0.4,-4406.400000000001
79,JP-2020-1033858,2020-08-30,2020-09-01,セカンド クラス,岩太-15025,岩佐 太陽,消費者,浜松市中区,静岡県,日本,中部地方,家電-コピ-10001181,家電,コピー機,"ブラザー インク, カラー",17848.800000000003,3,0.4,-8335.200000000003
80,JP-2020-1033858,2020-08-30,2020-09-01,セカンド クラス,岩太-15025,岩佐 太陽,消費者,浜松市中区,静岡県,日本,中部地方,事務用-バイ-10004745,事務用品,バインダー,"Avery 穴あけパンチ, リサイクル",2258.4000000000005,2,0.4,-753.6000000000004
81,JP-2020-1035332,2020-07-21,2020-07-27,通常配送,末誠-11035,末長 誠,消費者,田川郡川崎町,福岡県,日本,九州,事務用-封筒-10001711,事務用品,封筒,"Ames 茶封筒, 赤",3764.0,2,0.0,1240.0
82,JP-2019-1035496,2019-03-17,2019-03-21,通常配送,市義-16945,市瀬 義雄,大企業,津島市,愛知県,日本,中部地方,家電-付属-10001019,家電,付属品,"エナーマックス キーパッド, プログラミング可能",11766.0,3,0.0,1878.0
83,JP-2021-1036006,2021-03-24,2021-03-29,通常配送,水瞳-10885,水上 瞳,消費者,田辺市,和歌山県,日本,関西地方,家具-本棚-10002249,家具,本棚,"Safco キャビネット, 白",34272.0,3,0.0,9252.0
84,JP-2021-1036006,2021-03-24,2021-03-29,通常配送,水瞳-10885,水上 瞳,消費者,田辺市,和歌山県,日本,関西地方,家電-電話-10004051,家電,電話機,"モトローラ 信号ブースター, 各種サイズ",9732.0,1,0.0,85.0
85,JP-2019-1036650,2019-01-08,2019-01-12,通常配送,須弘-14695,須見 弘子,大企業,松山市,愛媛県,日本,四国,事務用-アプ-10002935,事務用品,アプライアンス,"フーバー 電子レンジ, シルバー",61878.0,3,0.0,6186.0
86,JP-2019-1036650,2019-01-08,2019-01-12,通常配送,須弘-14695,須見 弘子,大企業,松山市,愛媛県,日本,四国,事務用-バイ-10000961,事務用品,バインダー,"Ibico 穴あけパンチ, リサイクル",14378.000000000004,7,0.0,7182.0
87,JP-2020-1037654,2020-02-02,2020-02-07,通常配送,宇皐-14440,宇津野 皐,消費者,松原市,大阪府,日本,関西地方,事務用-文房-10001857,事務用品,文房具,"Acme 定規, 長方形",2682.0,3,0.0,750.0
88,JP-2019-1037710,2019-09-27,2019-09-29,セカンド クラス,星海-10210,星屋 海斗,消費者,岩国市,山口県,日本,中国地方,事務用-封筒-10004766,事務用品,封筒,"Cameo 各種封筒, リサイクル",1478.3999999999999,1,0.4,-517.6
89,JP-2019-1037710,2019-09-27,2019-09-29,セカンド クラス,星海-10210,星屋 海斗,消費者,岩国市,山口県,日本,中国地方,家電-コピ-10000255,家電,コピー機,"キヤノン ファックス, デジタル",38163.6,3,0.4,-6998.4000000000015
90,JP-2022-1038631,2022-08-22,2022-08-27,通常配送,霜匠-21175,霜田 匠,大企業,瀬戸市,愛知県,日本,中部地方,家電-電話-10003893,家電,電話機,"ノキア 信号ブースター, フル サイズ",45930.0,5,0.0,425.0
91,JP-2022-1038631,2022-08-22,2022-08-27,通常配送,霜匠-21175,霜田 匠,大企業,瀬戸市,愛知県,日本,中部地方,事務用-ラベ-10003374,事務用品,ラベル,"Harbour Creations 丸型ラベル, 調整可能",310.0,1,0.0,34.0
92,JP-2020-1039545,2020-10-10,2020-10-13,セカンド クラス,北翔-11695,北澤 翔,大企業,新宿区,東京都,日本,関東地方,事務用-紙-10001287,事務用品,紙,"サンディスク リーム, 12 パック",3845.4,2,0.15,1309.4
93,JP-2019-1040406,2019-10-16,2019-10-21,通常配送,平輝-19345,平川 輝,大企業,鈴鹿市,三重県,日本,関西地方,家具-椅子-10002810,家具,椅子,"Hon ロッキング チェア, 黒",35893.2,7,0.4,-11972.800000000001
94,JP-2022-1041247,2022-11-22,2022-11-25,セカンド クラス,北翔-11695,北澤 翔,大企業,新宿区,東京都,日本,関東地方,家電-コピ-10003000,家電,コピー機,"ヒューレット・パッカード 家庭用コピー機, カラー",24770.699999999997,3,0.15,5240.700000000001
95,JP-2022-1041715,2022-10-25,2022-11-01,通常配送,田葵-21535,田幡 葵,小規模事業所,福山市,広島県,日本,中国地方,事務用-画材-10002645,事務用品,画材,"BIC マーカー, 大容量パック",2492.0,2,0.3,-1036.0
96,JP-2022-1042695,2022-09-05,2022-09-12,通常配送,河昭-17455,河江 昭夫,消費者,宜野湾市,沖縄県,日本,九州,家電-事務-10000137,家電,事務機器,"OKI データ 電話, 赤",16800.0,3,0.0,5712.0
97,JP-2022-1042695,2022-09-05,2022-09-12,通常配送,河昭-17455,河江 昭夫,消費者,宜野湾市,沖縄県,日本,九州,家具-本棚-10001439,家具,本棚,"Sauder コーナー シェルフ, 従来型",19640.0,2,0.0,6872.0
98,JP-2021-1044305,2021-06-05,2021-06-10,セカンド クラス,倉翼-20110,倉本 翼,消費者,川崎市川崎区,神奈川県,日本,関東地方,家電-電話-10001855,家電,電話機,"アップル 充電器, 大容量パック",339360.0,8,0.0,159488.0
99,JP-2021-1044783,2021-12-13,2021-12-18,通常配送,東麗-17905,東條 麗華,大企業,浜松市中区,静岡県,日本,中部地方,事務用-保管-10003674,事務用品,保管箱,"Fellowes フォルダ, フル サイズ",2114.3999999999996,2,0.4,-1239.6
100,JP-2022-1045002,2022-12-12,2022-12-17,通常配送,大延-20350,大津 延,小規模事業所,新宿区,東京都,日本,関東地方,事務用-文房-10001472,事務用品,文房具,"Stiletto カッター ナイフ, スチール",6012.9,3,0.15,984.9000000000001
101,JP-2022-1045002,2022-12-12,2022-12-17,通常配送,大延-20350,大津 延,小規模事業所,新宿区,東京都,日本,関東地方,家具-本棚-10002300,家具,本棚,"イケア 書庫, 黒",144680.19999999998,7,0.15,11904.2
102,JP-2022-1045002,2022-12-12,2022-12-17,通常配送,大延-20350,大津 延,小規模事業所,新宿区,東京都,日本,関東地方,家具-椅子-10001540,家具,椅子,"Novimex ロッキング チェア, 2 つセット",22725.599999999995,3,0.15,2673.600000000001
103,JP-2022-1045002,2022-12-12,2022-12-17,通常配送,大延-20350,大津 延,小規模事業所,新宿区,東京都,日本,関東地方,家具-家具-10003631,家具,家具,"Deflect-O ドア ストッパー, プレミアム",24123.0,10,0.15,5942.999999999998
104,JP-2022-1045002,2022-12-12,2022-12-17,通常配送,大延-20350,大津 延,小規模事業所,新宿区,東京都,日本,関東地方,事務用-ラベ-10000890,事務用品,ラベル,"Novimex 色分けラベル, 赤",4855.2,7,0.15,1593.2
105,JP-2022-1046364,2022-10-20,2022-10-22,セカンド クラス,丹剛-21580,丹藤 剛,消費者,堺市堺区,大阪府,日本,関西地方,事務用-クリ-10003302,事務用品,クリップ,"Stockwell ペーパー クリップ, 12 パック",9768.000000000002,11,0.0,1253.9999999999998
106,JP-2022-1046701,2022-08-20,2022-08-26,通常配送,相美-20380,相原 美月,消費者,津山市,岡山県,日本,中国地方,事務用-ラベ-10000531,事務用品,ラベル,"Hon 法的提出用ラベル, 調整可能",1752.0,3,0.0,695.9999999999999
107,JP-2022-1046701,2022-08-20,2022-08-26,通常配送,相美-20380,相原 美月,消費者,津山市,岡山県,日本,中国地方,家具-家具-10001991,家具,家具,"Eldon フレーム, マルチパック",23262.000000000004,3,0.0,3720.0
108,JP-2019-1047598,2019-05-12,2019-05-16,通常配送,竹大-12760,竹石 大輔,大企業,田川郡川崎町,福岡県,日本,九州,事務用-文房-10003657,事務用品,文房具,"Fiskars はさみ, 業務用",8260.0,5,0.0,425.0
109,JP-2020-1048044,2020-01-26,2020-01-30,通常配送,登克-10555,登坂 克己,大企業,新宿区,東京都,日本,関東地方,事務用-紙-10002961,事務用品,紙,"ゼロックス ノート, プレミアム",5977.199999999999,4,0.15,-422.7999999999997
110,JP-2020-1048044,2020-01-26,2020-01-30,通常配送,登克-10555,登坂 克己,大企業,新宿区,東京都,日本,関東地方,事務用-文房-10002344,事務用品,文房具,"Fiskars はさみ, 長方形",2250.7999999999997,2,0.15,-109.19999999999999
